PROJECT	TIMEPOINT	proj_min_commit_fraction	proj_max_commit_fraction
AES	2020011913	1.0	1.0
AES	2020011914	1.0	1.0
AES	2020011915	1.0	1.0
AES	2020011916	1.0	1.0
AES	2020011917	1.0	1.0
AES	2020011918	1.0	1.0
AES	2020011919	1.0	1.0
AES	2020011920	1.0	1.0
AES	2020011921	1.0	1.0
AES	2020011922	1.0	1.0
AES	2020011923	1.0	1.0
AES	2020012000	1.0	1.0
AES	2020012001	1.0	1.0
AES	2020012002	1.0	1.0
AES	2020012003	1.0	1.0
AES	2020012004	1.0	1.0
AES	2020012005	1.0	1.0
AES	2020012006	1.0	1.0
AES	2020012007	1.0	1.0
AES	2020012008	1.0	1.0
AES	2020012009	1.0	1.0
AES	2020012010	1.0	1.0
AES	2020012011	1.0	1.0
AES	2020012012	1.0	1.0
AES	2020012013	1.0	1.0
AES	2020012014	1.0	1.0
AES	2020012015	1.0	1.0
AES	2020012016	1.0	1.0
AES	2020012017	1.0	1.0
AES	2020012018	1.0	1.0
AES	2020012019	1.0	1.0
AES	2020012020	1.0	1.0
AES	2020012021	1.0	1.0
AES	2020012022	1.0	1.0
AES	2020012023	1.0	1.0
AES	2020012100	1.0	1.0
AES	2020012101	1.0	1.0
AES	2020012102	1.0	1.0
AES	2020012103	1.0	1.0
AES	2020012104	1.0	1.0
AES	2020012105	1.0	1.0
AES	2020012106	1.0	1.0
AES	2020012107	1.0	1.0
AES	2020012108	1.0	1.0
AES	2020012109	1.0	1.0
AES	2020012110	1.0	1.0
AES	2020012111	1.0	1.0
AES	2020012112	1.0	1.0
AES	2020012113	1.0	1.0
AES	2020012114	1.0	1.0
AES	2020012115	1.0	1.0
AES	2020012116	1.0	1.0
AES	2020012117	1.0	1.0
AES	2020012118	1.0	1.0
AES	2020012119	1.0	1.0
AES	2020012120	1.0	1.0
AES	2020012121	1.0	1.0
AES	2020012122	1.0	1.0
AES	2020012123	1.0	1.0
AES	2020012200	1.0	1.0
AES	2020012201	1.0	1.0
AES	2020012202	1.0	1.0
AES	2020012203	1.0	1.0
AES	2020012204	1.0	1.0
AES	2020012205	1.0	1.0
AES	2020012206	1.0	1.0
AES	2020012207	1.0	1.0
AES	2020012208	1.0	1.0
AES	2020012209	1.0	1.0
AES	2020012210	1.0	1.0
AES	2020012211	1.0	1.0
AES	2020012212	1.0	1.0
AES	2020012213	1.0	1.0
AES	2020012214	1.0	1.0
AES	2020012215	1.0	1.0
AES	2020012216	1.0	1.0
AES	2020012217	1.0	1.0
AES	2020012218	1.0	1.0
AES	2020012219	1.0	1.0
AES	2020012220	1.0	1.0
AES	2020012221	1.0	1.0
AES	2020012222	1.0	1.0
AES	2020012223	1.0	1.0
AES	2020012300	1.0	1.0
AES	2020012301	1.0	1.0
AES	2020012302	1.0	1.0
AES	2020012303	1.0	1.0
AES	2020012304	1.0	1.0
AES	2020012305	1.0	1.0
AES	2020012306	1.0	1.0
AES	2020012307	1.0	1.0
AES	2020012308	1.0	1.0
AES	2020012309	1.0	1.0
AES	2020012310	1.0	1.0
AES	2020012311	1.0	1.0
AES	2020012312	1.0	1.0
AES	2020012313	1.0	1.0
AES	2020012314	1.0	1.0
AES	2020012315	1.0	1.0
AES	2020012316	1.0	1.0
AES	2020012317	1.0	1.0
AES	2020012318	1.0	1.0
AES	2020012319	1.0	1.0
AES	2020012320	1.0	1.0
AES	2020012321	1.0	1.0
AES	2020012322	1.0	1.0
AES	2020012323	1.0	1.0
AES	2020012400	1.0	1.0
AES	2020012401	1.0	1.0
AES	2020012402	1.0	1.0
AES	2020012403	1.0	1.0
AES	2020012404	1.0	1.0
AES	2020012405	1.0	1.0
AES	2020012406	1.0	1.0
AES	2020012407	1.0	1.0
AES	2020012408	1.0	1.0
AES	2020012409	1.0	1.0
AES	2020012410	1.0	1.0
AES	2020012411	1.0	1.0
AES	2020012412	1.0	1.0
AES	2020012413	1.0	1.0
AES	2020012414	1.0	1.0
AES	2020012415	1.0	1.0
AES	2020012416	1.0	1.0
AES	2020012417	1.0	1.0
AES	2020012418	1.0	1.0
AES	2020012419	1.0	1.0
AES	2020012420	1.0	1.0
AES	2020012421	1.0	1.0
AES	2020012422	1.0	1.0
AES	2020012423	1.0	1.0
AES	2020012500	1.0	1.0
AES	2020012501	1.0	1.0
AES	2020012502	1.0	1.0
AES	2020012503	1.0	1.0
AES	2020012504	1.0	1.0
AES	2020012505	1.0	1.0
AES	2020012506	1.0	1.0
AES	2020012507	1.0	1.0
AES	2020012508	1.0	1.0
AES	2020012509	1.0	1.0
AES	2020012510	1.0	1.0
AES	2020012511	1.0	1.0
AES	2020012512	1.0	1.0
AES	2020012513	1.0	1.0
AES	2020012514	1.0	1.0
AES	2020012515	1.0	1.0
AES	2020012516	1.0	1.0
AES	2020012517	1.0	1.0
AES	2020012518	1.0	1.0
AES	2020012519	1.0	1.0
AES	2020012520	1.0	1.0
AES	2020012521	1.0	1.0
AES	2020012522	1.0	1.0
AES	2020012523	1.0	1.0
AES	2020012600	1.0	1.0
AES	2020012601	1.0	1.0
AES	2020012602	1.0	1.0
AES	2020012603	1.0	1.0
AES	2020012604	1.0	1.0
AES	2020012605	1.0	1.0
AES	2020012606	1.0	1.0
AES	2020012607	1.0	1.0
AES	2020012608	1.0	1.0
AES	2020012609	1.0	1.0
AES	2020012610	1.0	1.0
AES	2020012611	1.0	1.0
AES	2020012612	1.0	1.0
AES	2020012613	1.0	1.0
AES	2020012614	1.0	1.0
AES	2020012615	1.0	1.0
AES	2020012616	1.0	1.0
AES	2020012617	1.0	1.0
AES	2020012618	1.0	1.0
AES	2020012619	1.0	1.0
AES	2020012620	1.0	1.0
AES	2020012621	1.0	1.0
AES	2020012622	1.0	1.0
AES	2020012623	1.0	1.0
AES	2020012700	1.0	1.0
AES	2020012701	1.0	1.0
AES	2020012702	1.0	1.0
AES	2020012703	1.0	1.0
AES	2020012704	1.0	1.0
AES	2020012705	1.0	1.0
AES	2020012706	1.0	1.0
AES	2020012707	1.0	1.0
AES	2020012708	1.0	1.0
AES	2020012709	1.0	1.0
AES	2020012710	1.0	1.0
AES	2020012711	1.0	1.0
AES	2020012712	1.0	1.0
AES	2020012713	1.0	1.0
AES	2020012714	1.0	1.0
AES	2020012715	1.0	1.0
AES	2020012716	1.0	1.0
AES	2020012717	1.0	1.0
AES	2020012718	1.0	1.0
AES	2020012719	1.0	1.0
AES	2020012720	1.0	1.0
AES	2020012721	1.0	1.0
AES	2020012722	1.0	1.0
AES	2020012723	1.0	1.0
AES	2020012800	1.0	1.0
AES	2020012801	1.0	1.0
AES	2020012802	1.0	1.0
AES	2020012803	1.0	1.0
AES	2020012804	1.0	1.0
AES	2020012805	1.0	1.0
AES	2020012806	1.0	1.0
AES	2020012807	1.0	1.0
AES	2020012808	1.0	1.0
AES	2020012809	1.0	1.0
AES	2020012810	1.0	1.0
AES	2020012811	1.0	1.0
AES	2020012812	1.0	1.0
AES	2020012813	1.0	1.0
AES	2020012814	1.0	1.0
AES	2020012815	1.0	1.0
AES	2020012816	1.0	1.0
AES	2020012817	1.0	1.0
AES	2020012818	1.0	1.0
AES	2020012819	1.0	1.0
AES	2020012820	1.0	1.0
AES	2020012821	1.0	1.0
AES	2020012822	1.0	1.0
AES	2020012823	1.0	1.0
AES	2020012900	1.0	1.0
AES	2020012901	1.0	1.0
AES	2020012902	1.0	1.0
AES	2020012903	1.0	1.0
AES	2020012904	1.0	1.0
AES	2020012905	1.0	1.0
AES	2020012906	1.0	1.0
AES	2020012907	1.0	1.0
AES	2020012908	1.0	1.0
AES	2020012909	1.0	1.0
AES	2020012910	1.0	1.0
AES	2020012911	1.0	1.0
AES	2020012912	1.0	1.0
AES	2020012913	1.0	1.0
AES	2020012914	1.0	1.0
AES	2020012915	1.0	1.0
AES	2020012916	1.0	1.0
AES	2020012917	1.0	1.0
AES	2020012918	1.0	1.0
AES	2020012919	1.0	1.0
AES	2020012920	1.0	1.0
AES	2020012921	1.0	1.0
AES	2020012922	1.0	1.0
AES	2020012923	1.0	1.0
AES	2020013000	1.0	1.0
AES	2020013001	1.0	1.0
AES	2020013002	1.0	1.0
AES	2020013003	1.0	1.0
AES	2020013004	1.0	1.0
AES	2020013005	1.0	1.0
AES	2020013006	1.0	1.0
AES	2020013007	1.0	1.0
AES	2020013008	1.0	1.0
AES	2020013009	1.0	1.0
AES	2020013010	1.0	1.0
AES	2020013011	1.0	1.0
AES	2020013012	1.0	1.0
AES	2020013013	1.0	1.0
AES	2020013014	1.0	1.0
AES	2020013015	1.0	1.0
AES	2020013016	1.0	1.0
AES	2020013017	1.0	1.0
AES	2020013018	1.0	1.0
AES	2020013019	1.0	1.0
AES	2020013020	1.0	1.0
AES	2020013021	1.0	1.0
AES	2020013022	1.0	1.0
AES	2020013023	1.0	1.0
AES	2020013100	1.0	1.0
AES	2020013101	1.0	1.0
AES	2020013102	1.0	1.0
AES	2020013103	1.0	1.0
AES	2020013104	1.0	1.0
AES	2020013105	1.0	1.0
AES	2020013106	1.0	1.0
AES	2020013107	1.0	1.0
AES	2020013108	1.0	1.0
AES	2020013109	1.0	1.0
AES	2020013110	1.0	1.0
AES	2020013111	1.0	1.0
AES	2020013112	1.0	1.0
AES	2020013113	1.0	1.0
AES	2020013114	1.0	1.0
AES	2020013115	1.0	1.0
AES	2020013116	1.0	1.0
AES	2020013117	1.0	1.0
AES	2020013118	1.0	1.0
AES	2020013119	1.0	1.0
AES	2020013120	1.0	1.0
