PROJECT	timepoint	proj_max_capacity_factor
Oahu_Central_PV	2020062223	0.0
Oahu_Central_PV	2020062300	0.0
Oahu_Central_PV	2020062301	0.0
Oahu_Central_PV	2020062302	0.0
Oahu_Central_PV	2020062303	0.0
Oahu_Central_PV	2020062304	0.0
Oahu_Central_PV	2020062305	0.0
Oahu_Central_PV	2020062306	0.0008674999999999999
Oahu_Central_PV	2020062307	0.09315699999999999
Oahu_Central_PV	2020062308	0.35372549999999997
Oahu_Central_PV	2020062309	0.678017
Oahu_Central_PV	2020062310	0.6801735
Oahu_Central_PV	2020062311	0.7903
Oahu_Central_PV	2020062312	0.8698359999999999
Oahu_Central_PV	2020062313	0.73418
Oahu_Central_PV	2020062314	0.6347200000000001
Oahu_Central_PV	2020062315	0.483602
Oahu_Central_PV	2020062316	0.681982
Oahu_Central_PV	2020062317	0.553396
Oahu_Central_PV	2020062318	0.334917
Oahu_Central_PV	2020062319	0.0206895
Oahu_Central_PV	2020062320	0.0
Oahu_Central_PV	2020062321	0.0
Oahu_Central_PV	2020062322	0.0
Oahu_Central_PV	2020062323	0.0
Oahu_Central_PV	2020062400	0.0
Oahu_Central_PV	2020062401	0.0
Oahu_Central_PV	2020062402	0.0
Oahu_Central_PV	2020062403	0.0
Oahu_Central_PV	2020062404	0.0
Oahu_Central_PV	2020062405	0.0
Oahu_Central_PV	2020062406	0.0007455000000000001
Oahu_Central_PV	2020062407	0.185109
Oahu_Central_PV	2020062408	0.5806035
Oahu_Central_PV	2020062409	0.6790165
Oahu_Central_PV	2020062410	0.6942364999999999
Oahu_Central_PV	2020062411	0.7195665
Oahu_Central_PV	2020062412	0.9237529999999999
Oahu_Central_PV	2020062413	0.8311985
Oahu_Central_PV	2020062414	0.5185005
Oahu_Central_PV	2020062415	0.5940305
Oahu_Central_PV	2020062416	0.49782550000000003
Oahu_Central_PV	2020062417	0.38583300000000004
Oahu_Central_PV	2020062418	0.20731349999999998
Oahu_Central_PV	2020062419	0.037217
Oahu_Central_PV	2020062420	0.0
Oahu_Central_PV	2020062421	0.0
Oahu_Central_PV	2020062422	0.0
Oahu_Central_PV	2020062423	0.0
Oahu_Central_PV	2020062500	0.0
Oahu_Central_PV	2020062501	0.0
Oahu_Central_PV	2020062502	0.0
Oahu_Central_PV	2020062503	0.0
Oahu_Central_PV	2020062504	0.0
Oahu_Central_PV	2020062505	0.0
Oahu_Central_PV	2020062506	0.0006355
Oahu_Central_PV	2020062507	0.2234445
Oahu_Central_PV	2020062508	0.535434
Oahu_Central_PV	2020062509	0.37597299999999995
Oahu_Central_PV	2020062510	0.585877
Oahu_Central_PV	2020062511	0.8099599999999999
Oahu_Central_PV	2020062512	0.6180485
Oahu_Central_PV	2020062513	0.842841
Oahu_Central_PV	2020062514	0.5235895
Oahu_Central_PV	2020062515	0.507329
Oahu_Central_PV	2020062516	0.31558949999999997
Oahu_Central_PV	2020062517	0.543594
Oahu_Central_PV	2020062518	0.22551749999999998
Oahu_Central_PV	2020062519	0.0277925
Oahu_Central_PV	2020062520	0.0
Oahu_Central_PV	2020062521	0.0
Oahu_Central_PV	2020062522	0.0
Oahu_Central_PV	2020062523	0.0
Oahu_Central_PV	2020062600	0.0
Oahu_Central_PV	2020062601	0.0
Oahu_Central_PV	2020062602	0.0
Oahu_Central_PV	2020062603	0.0
Oahu_Central_PV	2020062604	0.0
Oahu_Central_PV	2020062605	0.0
Oahu_Central_PV	2020062606	0.0005275
Oahu_Central_PV	2020062607	0.149921
Oahu_Central_PV	2020062608	0.2225935
Oahu_Central_PV	2020062609	0.401107
Oahu_Central_PV	2020062610	0.41048250000000003
Oahu_Central_PV	2020062611	0.7164455
